PARCELID,Shape_Leng,Shape_Area,PARID2,parid3,Dwelling — Sheet1_MAP ROUTING,Dwelling — Sheet1_CARD,Dwelling — Sheet1_RMTOT,Dwelling — Sheet1_RMBED,Dwelling — Sheet1_RMFAM,Dwelling — Sheet1_RMDIN,Dwelling — Sheet1_FIXBATH,Dwelling — Sheet1_FIXHALF,Dwelling — Sheet1_LIVUNITS,Dwelling — Sheet1_STYLE,Dwelling — Sheet1_STORIES,Dwelling — Sheet1_ATTIC,Dwelling — Sheet1_BSMT,Dwelling — Sheet1_FINBSMTAREA,Dwelling — Sheet1_EXTWALL,Dwelling — Sheet1_UNFINAREA,Dwelling — Sheet1_RECROMAREA,Dwelling — Sheet1_HEAT,Dwelling — Sheet1_FIXADDL,Dwelling — Sheet1_FIXTOT,Dwelling — Sheet1_WBFP_S,Dwelling — Sheet1_WBFP_O,Dwelling — Sheet1_CARSPACESATT,Dwelling — Sheet1_CARSPACESBSMT,Dwelling — Sheet1_CARPORTSPACES,Dwelling — Sheet1_GRADE,Dwelling — Sheet1_WELLSEPTIC,Dwelling — Sheet1_YRBLT,Dwelling — Sheet1_YRREMOD,Dwelling — Sheet1_EFFYR,Dwelling — Sheet1_COND,Dwelling — Sheet1_AREAFACT,Dwelling — Sheet1_ADJAREA,Dwelling — Sheet1_SHFACT,Dwelling — Sheet1_CNSTFACT,Dwelling — Sheet1_GRDFACT,Dwelling — Sheet1_DEPR,Dwelling — Sheet1_MKTADJ,Dwelling — Sheet1_MGFA,Dwelling — Sheet1_ADDNAREA,Dwelling — Sheet1_SFLA,Dwelling — Sheet1_FLR1AREA,Dwelling — Sheet1_ADJRCNLD,Value — Sheet1_TaxYear,Value — Sheet1_ValueType,Value — Sheet1_LUC,Value — Sheet1_LUCDesc,Value — Sheet1_MarketLand,Value — Sheet1_MarketImpr,Value — Sheet1_CauvLand,Value — Sheet1_TaxableLand,Value — Sheet1_TaxableImpr
"050-000053",498.81853011400,14902.06173470000,"050-000053","050-000053-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,401,401 - APARTMENTS 4 TO 19 FAMILY,114700,256800,0,40150,89880
"050-000054",402.94748324400,6812.10878924000,"050-000054","050-000054-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,455,455 - COMMERCIAL GARAGE,70800,4900,0,24780,1720
"050-000055",201.72926842600,1967.13091774000,"050-000055","050-000055-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Exempt,640,640 - EXEMPT PROPERTY OWNED BY CITIES,1500,7200,0,530,2520
"050-000056",395.11969516000,7315.31127271000,"050-000056","050-000056-00","050-N042-03600",1,5,2,,,1,,"1","05 - RANCH",1 - 1 Story,"0 - NO ATTIC",C - FULL CRAWL,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,5,,,2 - 2 Car Spaces,,,D+2 - BELOW AVERAGE ++,,1952,,,G - GOOD,0.894,1019,1,1,0.85,75,,1019,0,1019,1020,103200,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,85000,105100,0,29750,36790
"050-000057",482.76430706500,11017.49805910000,"050-000057","050-000057-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,480,480 - COMMERCIAL WAREHOUSE,122400,52800,0,42840,18480
"050-000058",851.11584954400,18717.94657330000,"050-000058","050-000058-00","050-N043-11200",1,8,4,,,2,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",B - FULL BASEMENT,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,3,11,,,,,,C+2 - AVERAGE + +,,1923,2017,2017,A - AVERAGE,0.79,840,1.69,1,1.1,79,,840,1088,2768,854,321500,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,100300,349600,0,35110,122360
"050-000059",398.02199763200,7325.83112540000,"050-000059","050-000059-00","050-N042-20600",1,6,3,,,1,1,"1",15 - OTHER/CONVERSION,2 - 2 Story,"0 - NO ATTIC",B - FULL BASEMENT,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,7,1,1,,,,D+2 - BELOW AVERAGE ++,,1912,,,G - GOOD,0.829,908,1.69,1,0.85,90,77,908,0,1816,916,190000,2024,Base,470,470 - DWELLING CONVERTED TO OFFICE,82500,193600,0,28880,67760
"050-000060",399.79720579300,7575.57713639000,"050-000060","050-000060-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,599,599 - OTHER RESIDENTIAL,85000,3400,0,29750,1190
"050-000061",531.32799794700,18093.00720550000,"050-000061","050-000061-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,480,480 - COMMERCIAL WAREHOUSE,61900,0,0,21670,0
"050-000063",587.20295163100,17324.29071510000,"050-000063","050-000063-00","050-N042-18800",1,6,4,,,1,,"1","05 - RANCH",1 - 1 Story,4 - FULL ATTIC FINISH,B - FULL BASEMENT,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,5,,,,,,C-1 - AVERAGE -,,1948,,,A - AVERAGE,0.869,976,1,1,0.95,75,,976,0,1444,978,145100,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,114000,148700,0,39900,52050
"050-000064",237.31184141300,3408.03261001000,"050-000064","050-000064-00","050-N041-06300",2,6,3,,,2,0,"1","05 - RANCH",1 - 1 Story,"0 - NO ATTIC","0 - NONE",,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,3,9,,,,,,C+2 - AVERAGE + +,,2022,,,G - GOOD,1.047,1280,1,1,1.1,100,,1280,0,1280,1280,247500,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,57000,247500,0,19950,86630
"050-000065",303.39288513100,5094.03264620000,"050-000065","050-000065-00","050-N041-06400",1,5,3,,,2,,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",C - FULL CRAWL,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,8,,,,,,D+2 - BELOW AVERAGE ++,,1900,2006,2006,G - GOOD,0.561,448,1.69,1,0.85,79,,448,392,1288,457,146000,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,69700,146000,0,24400,51100
"050-000066",398.21238957200,7406.40877934000,"050-000066","050-000066-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,430,430 - RESTAURANT/CAFETERIA OR BAR,115500,737100,0,40430,257990
"050-000067",906.50921557500,48941.51482820000,"050-000067","050-000067-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,429,429 - OTHER RETAIL STRUCTURE,544300,378800,0,190510,132580
"050-000068",454.90597537300,11574.00062680000,"050-000068","050-000068-00","050-N041-14200",1,6,2,1,,1,1,"1","07 - OLD STYLE",2 - 2 Story,"0 - NO ATTIC",C - FULL CRAWL,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,7,,,,,,D+2 - BELOW AVERAGE ++,,1900,,,G - GOOD,0.657,612,1.69,1,0.85,75,,612,30,1254,616,132100,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,96100,138500,0,33640,48480
"050-000069",450.61254825600,11244.92396020000,"050-000069","050-000069-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,456,456 - PARKING LOTS-SURFACE,111400,15800,0,38990,5530
"050-000070",401.38069705100,7592.28489165000,"050-000070","050-000070-00","050-N042-01800",1,7,4,,,3,1,"1","01 - CONVENTIONAL",2 - 2 Story,2 - 1/2 ATTIC FINISH,B - FULL BASEMENT,,1 - WD/ALUM/VINYL,,900,2 - HEAT/AIR CON,3,14,,,,,,D+2 - BELOW AVERAGE ++,,1900,2018,2018,G - GOOD,0.785,832,1.69,1,0.85,89,,832,54,1918,834,244900,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,85000,258200,0,29750,90370
"050-000071",459.27822916100,11306.89796680000,"050-000071","050-000071-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,89000,0,0,31150,0
"050-000072",515.43256360600,15782.64701270000,"050-000072","050-000072-00","050-N041-15000",1,5,3,,,1,,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",B - FULL BASEMENT,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,5,,,,,,C+1 - AVERAGE +,,1930,,,G - GOOD,0.709,702,1.69,1,1.05,75,,702,0,1404,707,179900,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,107500,182000,0,37630,63700
"050-000073",481.94284408700,13099.08197090000,"050-000073","050-000073-00","050-N041-14700",1,8,4,1,,1,1,"1","07 - OLD STYLE",2 - 2 Story,"0 - NO ATTIC",9 - 3/4 BASEMENT 1/4 CRAWL,,7 - BRICK,,,2 - HEAT/AIR CON,2,7,,,,,,C+2 - AVERAGE + +,,1879,1974,1974,A - AVERAGE,0.864,967,1.69,1.164,1.1,70,,967,352,2286,974,270700,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,101000,274600,0,35350,96110
"050-000074",567.80924998400,15697.86070670000,"050-000074","050-000074-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,108900,12900,0,38120,4520
"050-000075",399.56570088600,7482.11881902000,"050-000075","050-000075-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,436,436 - FAMILY RESTAURANT/DINING ROOM,82500,3600,0,28880,1260
"050-000076",241.91883011900,2221.19573894000,"050-000076","050-000076-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,444,444 - FULL SERVICE BANKS,23300,3800,0,8160,1330
"050-000077",278.24716862500,4444.29935412000,"050-000077","050-000077-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,444,444 - FULL SERVICE BANKS,44600,5100,0,15610,1790
"050-000078",439.74137022000,9753.74514007000,"050-000078","050-000078-00","050-N043-11500",1,7,4,,,1,,"1","08 - BUNGALOW",1.5 - 1 1/2 Story,"0 - NO ATTIC",B - FULL BASEMENT,,1 - WD/ALUM/VINYL,,,1 - HEAT,3,6,,,,,,C+1 - AVERAGE +,,1920,,,G - GOOD,0.692,672,1.49,1,1.05,75,,672,192,1402,678,163300,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,91900,166200,0,32170,58170
"050-000079",415.88800653800,7907.62532261000,"050-000079","050-000079-00","050-N043-11300",1,9,4,1,,1,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",B - FULL BASEMENT,,1 - WD/ALUM/VINYL,,400,2 - HEAT/AIR CON,2,7,1,1,,,,D+2 - BELOW AVERAGE ++,,1913,1993,1993,A - AVERAGE,0.461,277,1.69,1,0.85,70,,277,1213,1767,294,188500,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,86700,202800,0,30350,70980
"050-000080",546.96717936100,10330.29228740000,"050-000080","050-000080-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,455,455 - COMMERCIAL GARAGE,39900,1200,0,13970,420
"050-000081",438.20427775600,9698.60745598000,"050-000081","050-000081-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,455,455 - COMMERCIAL GARAGE,74600,105200,0,26110,36820
"050-000082",205.16079683700,2626.15257201000,"050-000082","050-000082-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Exempt,640,640 - EXEMPT PROPERTY OWNED BY CITIES,28600,0,0,10010,0
"050-000084",346.23413970800,3568.36777736000,"050-000084","050-000084-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,420,420 - SMALL RETAIL STRUCT<10000 SF,57800,0,0,20230,0
"050-000085",397.92285203000,7394.67465373000,"050-000085","050-000085-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,85000,0,0,29750,0
"050-000086",417.79470405000,8978.28244866000,"050-000086","050-000086-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,441,441 - FUNERAL HOME,99000,822900,0,34650,288020
"050-000087",391.49619516300,7512.69882404000,"050-000087","050-000087-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,444,444 - FULL SERVICE BANKS,90100,380900,0,31540,133320
"050-000089",401.79533903700,7526.03005780000,"050-000089","050-000089-00","050-N041-06500",2,6,3,,,1,,"1","05 - RANCH",1 - 1 Story,"0 - NO ATTIC","0 - NONE",,4 - CONCRETE BLOCK,,,2 - HEAT/AIR CON,3,6,,,2 - 2 Car Spaces,,,D-2 - POOR ++,,1920,2005,2005,G - GOOD,0.72,720,1,1,0.65,75,,720,0,720,728,75100,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,85000,220500,0,29750,77180
"050-000090",498.98964200500,14901.05688830000,"050-000090","050-000090-00","050-N042-19600",1,6,2,,,1,,"1",15 - OTHER/CONVERSION,1 - 1 Story,3 - 3/4 ATTIC FINISH,"0 - NONE",,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,6,9,1,1,2 - 2 Car Spaces,,,C-1 - AVERAGE -,,1954,,,A - AVERAGE,0.973,1154,1,1,0.95,85,,1154,1035,2604,1171,272200,2024,Base,471,471 - DWELLING CONVERTED TO RETAIL,165000,277000,0,57750,96950
"050-000091",396.28394656400,7368.96231214000,"050-000091","050-000091-00","050-N042-17400",1,9,5,,,1,,"1",15 - OTHER/CONVERSION,2 - 2 Story,4 - FULL ATTIC FINISH,C - FULL CRAWL,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,5,,,,,,D+2 - BELOW AVERAGE ++,,1900,1989,1989,G - GOOD,0.755,780,1.69,1,0.85,90,,780,278,2212,786,214400,2024,Base,471,471 - DWELLING CONVERTED TO RETAIL,82500,216800,0,28880,75880
"050-000092",345.63067399500,7269.81564934000,"050-000092","050-000092-00","050-N041-11100",1,8,4,1,,1,1,"1","01 - CONVENTIONAL",2 - 2 Story,2 - 1/2 ATTIC FINISH,B - FULL BASEMENT,,7 - BRICK,,,2 - HEAT/AIR CON,2,7,,,,,,B - GOOD QUALITY,,1916,1981,1981,G - GOOD,0.879,992,1.69,1.164,1.2,75,,992,458,2680,1001,353200,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,78400,357500,0,27440,125130
"050-000093",399.97268969000,7569.74581901000,"050-000093","050-000093-00","050-N042-21300",1,8,3,1,,1,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",B - FULL BASEMENT,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,7,,,1 - 1 Car Space,,,C-1 - AVERAGE -,,1900,,,A - AVERAGE,0.694,676,1.69,1,0.95,70,,676,344,1696,687,177700,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,85000,177700,0,29750,62200
"050-000094",362.05317658300,4680.01321300000,"050-000094","050-000094-00","050-N041-03500",1,8,3,,,2,,"2",13 - DUPLEX,2 - 2 Story,"0 - NO ATTIC",C - FULL CRAWL,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,4,10,,,,,,D+2 - BELOW AVERAGE ++,,1900,2001,2001,G - GOOD,0.692,672,1.69,1,0.85,75,,672,392,1736,677,149400,2024,Base,520,520 - TWO-FAMILY DWLG ON PLATTED LOT,52700,153000,0,18450,53550
"050-000095",353.09125265800,4006.86845493000,"050-000095","050-000095-00","050-N041-03400",1,4,2,,,2,,"1","07 - OLD STYLE",2 - 2 Story,"0 - NO ATTIC",C - FULL CRAWL,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,8,,,,,,D+2 - BELOW AVERAGE ++,,1900,1980,1980,G - GOOD,0.59,498,1.69,1,0.85,75,,498,256,1252,502,132600,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,51000,143900,0,17850,50370
"050-000096",257.43760154500,3961.21993631000,"050-000096","050-000096-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,444,444 - FULL SERVICE BANKS,57800,345200,0,20230,120820
"050-000097",307.69558496300,5391.49885331000,"050-000097","050-000097-00","050-N042-20500",1,8,4,1,,3,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",B - FULL BASEMENT,,1 - WD/ALUM/VINYL,,180,2 - HEAT/AIR CON,2,13,,,,,,C - AVERAGE QUALITY,,1900,2006,2006,G - GOOD,0.724,728,1.69,1,1,75,,728,624,2080,739,234000,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,70700,235900,0,24750,82570
"050-000098",339.98323511400,7221.27951988000,"050-000098","050-000098-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,57800,0,0,20230,0
"050-000099",317.51963752100,5453.09849157000,"050-000099","050-000099-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Exempt,650,650 - EXEMPT PROPERTY OWNED BY BOE,50400,0,0,17640,0
"050-000100",627.71440073400,24573.25442400000,"050-000100","050-000100-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,442,442 - MEDICAL CLINICS AND OFFICES,263100,339900,0,92090,118970
"050-000101",395.53967510800,7342.08752278000,"050-000101","050-000101-00","050-N041-09000",1,5,2,,,2,,"1","05 - RANCH",1 - 1 Story,"0 - NO ATTIC",B - FULL BASEMENT,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,3,9,,,,,,C+1 - AVERAGE +,,2007,,,G - GOOD,0.896,1022,1,1,1.05,87,,1022,680,1702,1033,236000,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,85000,256700,0,29750,89850
"050-000102",770.03078012700,18182.07005180000,"050-000102","050-000102-00","050-N041-12800",1,5,2,,,2,,"1","05 - RANCH",1 - 1 Story,"0 - NO ATTIC",B - FULL BASEMENT,,1 - WD/ALUM/VINYL,,750,2 - HEAT/AIR CON,2,8,1,1,,,,C-2 - AVERAGE - -,,1936,2000,2000,A - AVERAGE,0.884,1001,1,1,0.9,70,,1001,0,1001,1002,136800,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,103600,139500,0,36260,48830
"050-000103",779.49668391800,28211.95159360000,"050-000103","050-000103-00","050-N041-12700",1,7,4,,,,1,"1",10 - CAPE COD,1 - 1 Story,4 - FULL ATTIC FINISH,8 - 1/2 BASEMENT 1/2 CRAWL,,2 - STUCCO,,,2 - HEAT/AIR CON,2,4,,,,,,C-1 - AVERAGE -,,1922,2015,2015,A - AVERAGE,0.933,1086,1,1,0.95,74,41.65,1086,396,2003,1096,100100,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,202000,215900,0,70700,75570
"050-000104",133.18941696600,867.71226380700,"050-000104","050-000104-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,420,420 - SMALL RETAIL STRUCT<10000 SF,13200,33900,0,4620,11870
"050-000105",398.38773326300,5129.60636266000,"050-000105","050-000105-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,444,444 - FULL SERVICE BANKS,46800,7900,0,16380,2770
"050-000106",279.53433382800,4788.31207055000,"050-000106","050-000106-00","050-N041-07000",1,4,2,,,1,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",C - FULL CRAWL,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,7,,,2 - 2 Car Spaces,,,D+2 - BELOW AVERAGE ++,,2003,,,G - GOOD,0.519,377,1.69,1,0.85,85,,377,594,1348,390,178000,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,66400,178000,0,23240,62300
"050-000107",358.95420083100,7101.43016802000,"050-000107","050-000107-00","050-N042-06600",1,5,3,,,1,,"1","05 - RANCH",1 - 1 Story,"0 - NO ATTIC",B - FULL BASEMENT,,91 - 1/6 MASONRY TO FRAME .167,,,2 - HEAT/AIR CON,2,5,,,2 - 2 Car Spaces,,,D+2 - BELOW AVERAGE ++,,1971,,,A - AVERAGE,0.895,1020,1,1.016,0.85,77,,1020,0,1020,1030,138800,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,87000,138800,0,30450,48580
"050-000108",518.53813595100,13457.46980020000,"050-000108","050-000108-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,447,447 - OFFICE BLDG 1 & 2 STORIES,82300,0,0,28810,0
"050-000109",306.87887894300,2557.26771458000,"050-000109","050-000109-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,452,452 - AUTOMOTIVE SERVICE STATION,45300,0,0,15860,0
"050-000110",407.77615855300,8079.73272083000,"050-000110","050-000110-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,447,447 - OFFICE BLDG 1 & 2 STORIES,110900,88800,0,38820,31080
"050-000111",389.96966198800,7539.74945022000,"050-000111","050-000111-00","050-N042-16800",1,6,3,1,,1,1,"1","05 - RANCH",1 - 1 Story,"0 - NO ATTIC","0 - NONE",,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,7,,,2 - 2 Car Spaces,,,D+2 - BELOW AVERAGE ++,,1954,,,A - AVERAGE,0.854,950,1,1,0.85,75,,950,384,1334,961,133100,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,79300,133100,0,27760,46590
"050-000112",395.84215820200,9791.05396187000,"050-000112","050-000112-00","050-N041-01500",1,6,4,,,2,,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",B - FULL BASEMENT,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,8,,,,,,C-2 - AVERAGE - -,,1900,2006,2006,A - AVERAGE,0.79,840,1.69,1,0.9,70,,840,68,1748,844,163200,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,87100,166900,0,30490,58420
"050-000113",2822.40083618000,106133.91381699999,"050-000113","050-000113-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Exempt,640,640 - EXEMPT PROPERTY OWNED BY CITIES,451800,311900,0,158130,109170
"050-000114",399.51117403700,7409.33076801000,"050-000114","050-000114-00","050-N042-19900",1,7,3,,,1,,"1","07 - OLD STYLE",2 - 2 Story,"0 - NO ATTIC",B - FULL BASEMENT,,1 - WD/ALUM/VINYL,,,1 - HEAT,2,5,,,,,,C - AVERAGE QUALITY,,1900,,,G - GOOD,0.79,840,1.69,1,1,90,65,840,75,1755,845,166700,2024,Base,471,471 - DWELLING CONVERTED TO RETAIL,82500,166700,0,28880,58350
"050-000115",785.41264255500,32677.51050560000,"050-000115","050-000115-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,370,370 - SMALL SHOPS: 0% TO 10% OFC,97700,159800,0,34200,55930
"050-000116",204.80559727800,2361.39709749000,"050-000116","050-000116-00","050-N041-02700",1,5,3,,,2,,"1",10 - CAPE COD,1.5 - 1 1/2 Story,"0 - NO ATTIC",C - FULL CRAWL,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,8,,,,,,C-1 - AVERAGE -,,1900,2019,2019,G - GOOD,0.58,480,1.49,1,0.95,84,,480,288,1152,486,153200,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,38700,153200,0,13550,53620
"050-000117",527.29114648400,16846.19694610000,"050-000117","050-000117-00","050-N043-00100",1,7,4,,,2,,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",B - FULL BASEMENT,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,8,1,1,,,,C - AVERAGE QUALITY,,1930,,,G - GOOD,0.708,700,1.69,1,1,75,,700,312,1712,708,205900,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,111400,209500,0,38990,73330
"050-000118",20145.77093300000,729349.24390300002,"050-000118","050-000118-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,840,840 - RR REAL PROPERTY USED IN OPERATION,0,0,0,0,0
"050-000119",369.96166276200,5259.09930111000,"050-000119","050-000119-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,499,499 - OTHER COMMERCIAL STRUCTURE,40800,0,0,14280,0
"050-000120",431.96168387600,9890.89239267000,"050-000120","050-000120-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,499,499 - OTHER COMMERCIAL STRUCTURE,110600,7900,0,38710,2770
"050-000121",385.52506010500,6509.94562055000,"050-000121","050-000121-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,470,470 - DWELLING CONVERTED TO OFFICE,74300,132200,0,26010,46270
"050-000122",546.54375778800,18929.01128990000,"050-000122","050-000122-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,435,435 - FAST FOOD/DRIVE-IN RESTAURANT,248800,385900,0,87080,135070
"050-000123",399.06738575700,7504.95423726000,"050-000123","050-000123-00","050-N042-21500",1,4,2,,,2,,"1","05 - RANCH",1 - 1 Story,"0 - NO ATTIC",B - FULL BASEMENT,,7 - BRICK,,,2 - HEAT/AIR CON,2,8,1,1,2 - 2 Car Spaces,,,C-1 - AVERAGE -,,1972,,,A - AVERAGE,0.935,1088,1,1.097,0.95,72,,1088,0,1088,1098,167200,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,85000,167200,0,29750,58520
"050-000124",353.14205743400,7636.61676799000,"050-000124","050-000124-00","050-N042-02100",1,4,2,,,1,,"1","05 - RANCH",1 - 1 Story,"0 - NO ATTIC",B - FULL BASEMENT,,91 - 1/6 MASONRY TO FRAME .167,,,1 - HEAT,2,5,,,2 - 2 Car Spaces,,,D+2 - BELOW AVERAGE ++,,1953,,,A - AVERAGE,0.811,876,1,1.016,0.85,70,,876,0,876,884,104000,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,78400,104000,0,27440,36400
"050-000126",401.52481458200,7525.21135853000,"050-000126","050-000126-00","050-N042-01900",1,5,2,,,1,,"1",10 - CAPE COD,1.5 - 1 1/2 Story,"0 - NO ATTIC",B - FULL BASEMENT,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,5,1,1,,,,D+2 - BELOW AVERAGE ++,,1920,,,G - GOOD,0.509,360,1.49,1,0.85,75,,360,570,1218,366,129400,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,79900,132000,0,27970,46200
